Text,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves
5855,Text,6/1/2004,"Personal Memoirs of P. H. Sheridan, Volume 1, Part 2",en,"Sheridan, Philip Henry, 1831-1888","Generals -- United States -- Biography; United States -- History -- Civil War, 1861-1865 -- Campaigns; United States -- History -- Civil War, 1861-1865 -- Personal narratives; United States. Army -- Biography; Sheridan, Philip Henry, 1831-1888; Indians of North America -- Wars -- 1866-1895",E456,US Civil War
932,Text,6/1/1997,The Fall of the House of Usher,en,"Poe, Edgar Allan, 1809-1849",Short stories; Horror tales; Gothic fiction,PS,Movie Books
2196,Text,3/26/2006,An Iceland Fisherman,en,"Loti, Pierre, 1850-1923; Cambon, Jules, 1845-1935 [Translator]",Fishers -- Fiction; Iceland -- Fiction,PQ,
1139,Text,12/1/1997,Fisherman's Luck and Some Other Uncertain Things,en,"Van Dyke, Henry, 1852-1933",Fishing,PS,
2616,Text,6/1/2004,Memoirs of General William T. Sherman � Volume 1,en,"Sherman, William T. (William Tecumseh), 1820-1891","Generals -- United States -- Biography; United States -- History -- Civil War, 1861-1865 -- Campaigns; Sherman, William T. (William Tecumseh), 1820-1891; United States -- History -- Civil War, 1861-1865 -- Personal narratives; United States. Army -- Biography",E456,US Civil War
2617,Text,6/1/2004,Memoirs of General William T. Sherman � Volume 2,en,"Sherman, William T. (William Tecumseh), 1820-1891","Generals -- United States -- Biography; United States -- History -- Civil War, 1861-1865 -- Campaigns; Sherman, William T. (William Tecumseh), 1820-1891; United States -- History -- Civil War, 1861-1865 -- Personal narratives; United States. Army -- Biography",E456,US Civil War
2651,Text,3/27/2005,"Personal Memoirs of P. H. Sheridan, General, United States Army � Volume 1",en,"Sheridan, Philip Henry, 1831-1888","Generals -- United States -- Biography; United States -- History -- Civil War, 1861-1865 -- Campaigns; United States -- History -- Civil War, 1861-1865 -- Personal narratives; United States. Army -- Biography; Sheridan, Philip Henry, 1831-1888; Indians of North America -- Wars -- 1866-1895",E456,US Civil War
2652,Text,6/1/2004,"Personal Memoirs of P. H. Sheridan, General, United States Army � Volume 2",en,"Sheridan, Philip Henry, 1831-1888","Generals -- United States -- Biography; United States -- History -- Civil War, 1861-1865 -- Campaigns; United States -- History -- Civil War, 1861-1865 -- Personal narratives; United States. Army -- Biography; Sheridan, Philip Henry, 1831-1888; Indians of North America -- Wars -- 1866-1895",E456,US Civil War
2691,Text,7/1/2001,"Nan Sherwood at Pine Camp; Or, The Old Lumberman's Secret",en,"Carr, Annie Roe",Detective and mystery stories; Michigan -- Juvenile fiction,PZ,Children's Book Series
3784,Text,2/1/2003,The Sheridan Road Mystery,en,"Thorne, Mabel; Thorne, Paul","Detective and mystery stories, American",PS,
4361,Text,6/1/2004,Memoirs of General William T. Sherman � Complete,en,"Sherman, William T. (William Tecumseh), 1820-1891","Generals -- United States -- Biography; United States -- History -- Civil War, 1861-1865 -- Campaigns; Sherman, William T. (William Tecumseh), 1820-1891; United States -- History -- Civil War, 1861-1865 -- Personal narratives; United States. Army -- Biography",E456,US Civil War
